time_sec,taxi_id,from_cell,to_cell,to_edge,travel_time_sec
2100.0,taxi_respawn_24,8830e1ca2bfffff,8830e1ca07fffff,-117790040,75.24586370161998
2100.0,taxi_respawn_16,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
2100.0,taxi_respawn_5,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
2100.0,taxi_respawn_53,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,29.242574257425744
2100.0,taxi_respawn_45,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,47.666040713660415
2100.0,taxi_respawn_48,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,53.945413098792464
2400.0,taxi_respawn_22,8830e1ca29fffff,8830e1ca2dfffff,-376649992,28.50440229804728
2400.0,taxi_respawn_63,8830e1ca29fffff,8830e1ca2dfffff,-376649992,40.10089966635197
2400.0,taxi_respawn_54,8830e1ca29fffff,8830e1ca2dfffff,-376649992,43.23436348157218
2400.0,taxi_respawn_64,8830e1ca29fffff,8830e1ca2dfffff,-376649992,52.37842453268875
2400.0,taxi_respawn_52,8830e1ca29fffff,8830e1ca2dfffff,-376649992,61.28465008717937
2400.0,taxi_respawn_47,8830e1ca63fffff,8830e1ca2dfffff,-376649992,86.5667492195625
2400.0,taxi_respawn_61,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,102.17547160486916
2400.0,taxi_respawn_60,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,98.14968856509951
2400.0,taxi_respawn_55,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,99.78813153254318
2400.0,taxi_respawn_16,8830e1ca07fffff,8830e1ca21fffff,-1056882877#0,104.97622700900382
2400.0,taxi_respawn_41,8830e1ca07fffff,8830e1ca05fffff,-117790044#2,43.263253350690846
2400.0,taxi_respawn_15,8830e1ca2bfffff,8830e1ca23fffff,-176732665,118.3442511068461
2700.0,taxi_3,8830e1ca05fffff,8830e1ca07fffff,-117790040,60.49624471587047
2700.0,taxi_respawn_42,8830e1ca2bfffff,8830e1ca07fffff,-117790040,64.45683546903986
2700.0,taxi_respawn_57,8830e1ca29fffff,8830e1ca07fffff,-117790040,72.62533787125423
2700.0,taxi_respawn_28,8830e1ca29fffff,8830e1ca07fffff,-117790040,77.73476911675459
2700.0,taxi_respawn_33,8830e1ca29fffff,8830e1ca2dfffff,-376649992,31.691259110230085
2700.0,taxi_respawn_20,8830e1ca29fffff,8830e1ca2dfffff,-376649992,41.086055346223006
2700.0,taxi_respawn_58,8830e1ca29fffff,8830e1ca2dfffff,-376649992,41.086055346223006
